user_id,observation.id,observation.license_code,observation.photo.id,observation.photo.license_code
jbest,268254394,CC-BY,482164282,CC-BY
jbest,268254394,CC-BY,482164306,CC-BY
jbest,268254394,CC-BY,482164331,CC-BY
jbest,268255589,CC-BY,482166403,CC-BY
jbest,270051220,CC-BY,485616261,CC-BY
jbest,270051220,CC-BY,485616284,CC-BY
jbest,270051220,CC-BY,485616313,CC-BY
jbest,270077111,CC-BY,485666381,CC-BY
jbest,270077111,CC-BY,485666383,CC-BY
jbest,270077111,CC-BY,485666380,CC-BY
jbest,270227148,CC-BY,485953529,CC-BY
jbest,270227148,CC-BY,485953530,CC-BY
jbest,270227148,CC-BY,485953518,CC-BY
jbest,273260976,CC-BY,491507703,CC-BY
jbest,273260976,CC-BY,491507675,CC-BY
jbest,273261605,CC-BY,491508518,CC-BY
jbest,273261605,CC-BY,491508577,CC-BY
jbest,273310368,CC-BY,491585138,CC-BY
jbest,273310368,CC-BY,491585136,CC-BY
jbest,273310368,CC-BY,491585132,CC-BY
jbest,273315100,CC-BY,491592348,CC-BY
jbest,273315100,CC-BY,491592352,CC-BY
jbest,273315100,CC-BY,491592366,CC-BY
jbest,273315538,CC-BY,491592962,CC-BY
jbest,273315538,CC-BY,491593037,CC-BY
jbest,273318547,CC-BY,491597539,CC-BY
jbest,273318547,CC-BY,491597517,CC-BY
jbest,273318547,CC-BY,491597531,CC-BY
jbest,273318547,CC-BY,491597546,CC-BY
jbest,273318547,CC-BY,491597590,CC-BY
jbest,273319612,CC-BY,491599401,CC-BY
jbest,273319612,CC-BY,491599403,CC-BY
jbest,273319612,CC-BY,491599390,CC-BY
jbest,273320376,CC-BY,491600400,CC-BY
jbest,273320376,CC-BY,491600409,CC-BY
jbest,273320376,CC-BY,491600428,CC-BY
jbest,273320376,CC-BY,491600469,CC-BY
jbest,273320376,CC-BY,491600431,CC-BY
jbest,273320376,CC-BY,491600493,CC-BY
jbest,273320376,CC-BY,491600430,CC-BY
jbest,273320577,CC-BY,491600819,CC-BY
jbest,273320577,CC-BY,491600816,CC-BY
jbest,273320577,CC-BY,491600822,CC-BY
jbest,273320768,CC-BY,491601122,CC-BY
jbest,273320858,CC-BY,491601305,CC-BY
jbest,273320858,CC-BY,491601300,CC-BY
jbest,273320965,CC-BY,491601512,CC-BY
jbest,273320965,CC-BY,491601500,CC-BY
jbest,273320965,CC-BY,491601501,CC-BY
jbest,273321265,CC-BY,491601973,CC-BY
jbest,273321265,CC-BY,491601991,CC-BY
jbest,273321265,CC-BY,491601980,CC-BY
jbest,273321265,CC-BY,491601988,CC-BY
jbest,273321384,CC-BY,491602192,CC-BY
jbest,273321384,CC-BY,491602197,CC-BY
jbest,273321384,CC-BY,491602187,CC-BY
jbest,273321499,CC-BY,491602357,CC-BY
jbest,273321499,CC-BY,491602358,CC-BY
jbest,275029860,CC-BY,494296876,CC-BY
jbest,275029860,CC-BY,494296869,CC-BY
jbest,275109848,CC-BY,494421265,CC-BY
jbest,275109848,CC-BY,494421248,CC-BY
jbest,277718607,CC-BY,498661432,CC-BY
jbest,277890249,CC-BY,498975028,CC-BY
jbest,277890249,CC-BY,498975032,CC-BY
jbest,277890249,CC-BY,498975025,CC-BY
jbest,282401411,CC-BY,507664978,CC-BY
jbest,282401411,CC-BY,507664970,CC-BY
jbest,282401411,CC-BY,507664971,CC-BY
jbest,282401411,CC-BY,507664976,CC-BY
jbest,282401411,CC-BY,507664980,CC-BY
jbest,282401411,CC-BY,507664972,CC-BY
jbest,285092921,CC-BY,512416888,CC-BY
jbest,285753419,CC-BY,513639378,CC-BY
jbest,285753419,CC-BY,513639376,CC-BY
jbest,285753705,CC-BY,513639977,CC-BY
jbest,285753705,CC-BY,513639953,CC-BY
